Unnamed: 0,x,y,value
1,1,205,0.0
2,1,204,0.0
3,1,203,0.0
4,1,202,0.0
5,1,201,0.0
6,1,200,0.0
7,1,199,0.0
8,1,198,0.0
9,1,197,0.0
10,1,196,0.0
11,1,195,0.0
12,1,194,0.0
13,1,193,0.0
14,1,192,0.0
15,1,191,0.0
16,1,190,0.0
17,1,189,0.0
18,1,188,0.0
19,1,187,0.0
20,1,186,0.0
21,1,185,0.0
22,1,184,0.0
23,1,183,0.0
24,1,182,0.0
25,1,181,0.0
26,1,180,0.0
27,1,179,0.0
28,1,178,0.0
29,1,177,0.0
30,1,176,0.0
31,1,175,0.0
32,1,174,0.0
33,1,173,0.0
34,1,172,0.0
35,1,171,0.0
36,1,170,0.0
37,1,169,0.0
38,1,168,0.0
39,1,167,0.0
40,1,166,0.0
41,1,165,0.0
42,1,164,0.0
43,1,163,0.0
44,1,162,0.0
45,1,161,0.0
46,1,160,0.0
47,1,159,0.0
48,1,158,0.0
49,1,157,0.0
50,1,156,0.0
51,1,155,0.0
52,1,154,0.0
53,1,153,0.0
54,1,152,0.0
55,1,151,0.0
56,1,150,0.0
57,1,149,0.0
58,1,148,0.0
59,1,147,0.0
60,1,146,0.0
61,1,145,0.0
62,1,144,0.0
63,1,143,0.0
64,1,142,0.0
65,1,141,0.0
66,1,140,0.0
67,1,139,0.0
68,1,138,0.0
69,1,137,0.0
70,1,136,0.0
71,1,135,0.0
72,1,134,0.0
73,1,133,0.0
74,1,132,0.0
75,1,131,0.0
76,1,130,0.0
77,1,129,0.0
78,1,128,0.0
79,1,127,0.0
80,1,126,0.0
81,1,125,0.0
82,1,124,0.0
83,1,123,0.0
84,1,122,0.0
85,1,121,0.0
86,1,120,0.0
87,1,119,0.0
88,1,118,0.0
89,1,117,0.0
90,1,116,0.0
91,1,115,0.0
92,1,114,0.0
93,1,113,0.0
94,1,112,0.0
95,1,111,0.0
96,1,110,0.0
97,1,109,0.0
98,1,108,0.0
99,1,107,0.0
100,1,106,0.0
101,1,105,0.0
102,1,104,0.0
103,1,103,0.0
104,1,102,0.0
105,1,101,0.0
106,1,100,0.0
107,1,99,0.0
108,1,98,0.0
109,1,97,0.0
110,1,96,0.0
